quantity,arm,panel,value,source,filter,note
Platform / panel,M1,full,"Xenium Prime Mouse 5K + 100 custom; 5,097 panel genes",/workspace/results/phase9_h1/a8_panel_arithmetic.csv,row mouse_panel,
Platform / panel,H1,full,"Xenium Prime Human 5K + 100 addon; 5,093 panel genes",/workspace/results/phase9_h1/a8_panel_arithmetic.csv,row human_panel,
Sections / donors,M1,full,11 / 11 mice; 6 admissible (§8 Test 3),/workspace/results/composition_by_arm_timepoint.csv,len(c); c.mouse.nunique(); sasp_phase3.IN_BAND,
"Cells, total",M1,full,1826893,/workspace/results/composition_by_arm_timepoint.csv,c.n_cells.sum(),
"Cells, admissible sections",M1,full,1031880,/workspace/results/composition_by_arm_timepoint.csv,c[c.section in IN_BAND].n_cells.sum(),
Sections / donors,H1,full,"7 / 7 donors, ages 17-59, 4M/3F; all 7 analysed",/workspace/results/phase9_h1/a1_sections.csv,len(a1),
"Cells, total",H1,full,2207593,/workspace/results/phase9_h1/a1_sections.csv,a1.n_cells.sum(),
"Cells, admissible sections",H1,full,1962278,/workspace/results/phase9_h1/a1_sections.csv,a1.n_qc_pass.sum() (QC-passed; H1 has no Test-3 rule),
Median NN distance (um),M1,full,6.74 - 10.61,/workspace/results/phase3/window.csv,unique(section) -> median_nn_um,
Median NN distance (um),H1,full,5.45 - 5.89 (all cells); 5.45 - 6.29 (QC-passed),/workspace/results/phase9_h1/a1_sections.csv,median_nn_um_all / median_nn_um_qc,BELOW the frozen 7.0 um lambda-grid floor in every section; PREREG 3.1 forbids patching it
Transcript assignment rate,M1,full,88.27 % (section 7259 only),/workspace/logs/assignment_rate.log,stdout of code/assignment_rate.py; no CSV exists for M1,
Transcript assignment rate,H1,full,92.41 - 94.17 % (3 sections),/workspace/results/phase9_h1/a1_assignment_rate.csv,assigned_pct,
"Sender prevalence, primary call (%)",M1,full,4.041 - 4.480,/workspace/results/phase3/main_fits.csv,call=='tierA_p95' & stratum=='all' & section in IN_BAND(6),
