section,seed,n_cells,rho_partial_cdkn1a,majority_sign,flipped
SPLN07,20260901,227360,0.18453,+,False
SPLN07,20260902,227360,0.21672,+,False
SPLN07,20260903,227360,-0.14921,+,True
SPLN14,20260901,283635,0.14936,+,False
SPLN14,20260902,283635,0.16082,+,False
SPLN14,20260903,283635,0.18496,+,False
SPLN21,20260901,196142,0.22936,+,False
SPLN21,20260902,196142,0.24105,+,False
SPLN21,20260903,196142,0.20131,+,False
SPLN21,20260904,196142,0.23283,+,False
SPLN24,20260901,393202,0.17091,+,False
SPLN24,20260902,393202,0.16253,+,False
SPLN24,20260903,393202,0.16613,+,False
SPLN30,20260901,291577,0.17443,+,False
SPLN30,20260902,291577,0.21973,+,False
SPLN30,20260903,291577,0.23738,+,False
SPLN43,20260901,270472,0.13506,+,False
SPLN43,20260902,270472,0.2058,+,False
SPLN43,20260903,270472,0.23047,+,False
SPLN44,20260901,299897,0.19858,+,False
SPLN44,20260902,299897,0.14683,+,False
SPLN44,20260903,299897,0.14725,+,False
